"id","question_id","question_number","category","difficulty","domain","question_text","options","correct_answer","explanation","explanation_details","multiple_answers"
1,101,1,"AWS Architecture - High Availability","Application","Design Resilient Architectures","A company runs a critical e-commerce application on a single EC2 instance in us-east-1a. The application must achieve 99.99% uptime and automatically recover from AZ failures. Which solution provides the MOST cost-effective approach to meet these requirements?","[{""text"": ""A) Deploy a larger EC2 instance type in the same AZ"", ""isCorrect"": false}, {""text"": ""B) Create an AMI and manually launch instances in other AZs when needed"", ""isCorrect"": false}, {""text"": ""C) Use Auto Scaling Group with instances across multiple AZs behind an ALB"", ""isCorrect"": true}, {""text"": ""D) Use Elastic Beanstalk with a single instance"", ""isCorrect"": false}]","C) Use Auto Scaling Group with instances across multiple AZs behind an ALB","Auto Scaling Groups with multiple AZs provide automatic failure detection and recovery, while ALB distributes traffic and handles health checks.","{""summary"": ""Multi-AZ Auto Scaling provides automated resilience:"", ""breakdown"": [""Auto Scaling Group automatically replaces failed instances"", ""Multiple AZs protect against entire AZ failures"", ""ALB provides health checks and traffic distribution"", ""Most cost-effective as it only runs minimum required instances""], ""otherOptions"": ""A) Larger instance doesn't solve AZ failure\nB) Manual process doesn't meet automation requirement\nD) Single instance still has single point of failure""}",NULL
2,102,2,"AWS Architecture - Data Resilience","Application","Design Resilient Architectures","A financial services company stores critical transaction data in RDS MySQL. They need to ensure data can be recovered with RPO of 5 minutes and RTO of 15 minutes in case of primary database failure. Which combination of solutions meets these requirements? (Choose TWO)","[{""text"": ""A) Enable automated backups with 5-minute backup frequency"", ""isCorrect"": false}, {""text"": ""B) Configure RDS Multi-AZ deployment"", ""isCorrect"": true}, {""text"": ""C) Create hourly manual snapshots"", ""isCorrect"": false}, {""text"": ""D) Enable point-in-time recovery"", ""isCorrect"": true}]","B) Configure RDS Multi-AZ deployment","Multi-AZ provides automatic failover within minutes, while point-in-time recovery enables restoration to any second within the backup retention period.","{""summary"": ""Meeting RPO/RTO requirements:"", ""breakdown"": [""Multi-AZ: Automatic failover typically completes in 60-120 seconds"", ""Point-in-time recovery: Can restore to any second (meets 5-min RPO)"", ""Automated backups: Only daily, can't meet 5-minute RPO"", ""Manual snapshots: Too infrequent for RPO requirement""], ""otherOptions"": ""A) Automated backups are daily, not every 5 minutes\nC) Hourly snapshots exceed 5-minute RPO requirement""}",NULL
3,103,3,"AWS Architecture - Cross-Region Resilience","Expert","Design Resilient Architectures","A media company streams video content globally and needs to ensure service availability even if an entire AWS region becomes unavailable. The application uses ALB, EC2 Auto Scaling, and RDS MySQL. Which design provides the MOST comprehensive disaster recovery solution?","[{""text"": ""A) Create read replicas in multiple regions with manual failover"", ""isCorrect"": false}, {""text"": ""B) Use Route 53 health checks with cross-region ALBs and RDS cross-region automated backups"", ""isCorrect"": false}, {""text"": ""C) Deploy identical infrastructure in two regions with Route 53 failover routing and RDS cross-region read replicas with promotion capability"", ""isCorrect"": true}, {""text"": ""D) Use CloudFormation to deploy infrastructure in multiple regions manually when needed"", ""isCorrect"": false}]","C) Deploy identical infrastructure in two regions with Route 53 failover routing and RDS cross-region read replicas with promotion capability","Full cross-region deployment with automated DNS failover and database replica promotion provides the fastest recovery from regional failures.","{""summary"": ""Comprehensive multi-region DR strategy:"", ""breakdown"": [""Active-passive setup in multiple regions"", ""Route 53 automatic failover based on health checks"", ""RDS read replicas can be promoted to standalone databases"", ""Infrastructure already running in secondary region""], ""otherOptions"": ""A) Manual failover too slow for video streaming\nB) Cross-region backups take too long to restore\nD) Manual deployment during disaster is too slow""}",NULL
4,104,4,"AWS Storage - Backup Strategy","Application","Design Resilient Architectures","A company needs to backup 50TB of data from on-premises to AWS. The data must be available within 4 hours during a disaster, and they want to minimize ongoing costs. The initial backup can take up to 2 weeks. Which solution is MOST appropriate?","[{""text"": ""A) AWS Storage Gateway with Tape Gateway to S3 Glacier"", ""isCorrect"": false}, {""text"": ""B) AWS Snowball Edge to S3, then lifecycle policy to S3 Intelligent-Tiering"", ""isCorrect"": true}, {""text"": ""C) Direct upload to S3 Standard over internet connection"", ""isCorrect"": false}, {""text"": ""D) AWS DataSync to S3 Glacier Deep Archive"", ""isCorrect"": false}]","B) AWS Snowball Edge to S3, then lifecycle policy to S3 Intelligent-Tiering","Snowball Edge handles the initial 50TB transfer efficiently, while S3 Intelligent-Tiering automatically optimizes costs and meets the 4-hour recovery requirement.","{""summary"": ""Large data backup strategy considerations:"", ""breakdown"": [""Snowball Edge: Cost-effective for 50TB initial transfer"", ""S3 Intelligent-Tiering: Automatic cost optimization"", ""Standard tier availability: Immediate access for 4-hour RTO"", ""2-week initial timeline: Perfect for Snowball shipping""], ""otherOptions"": ""A) Tape Gateway too slow for 4-hour recovery\nC) 50TB over internet too slow and expensive\nD) Glacier Deep Archive takes 12+ hours to retrieve""}",NULL
5,105,5,"AWS Performance - Database Optimization","Application","Design High-Performing Architectures","An application experiences slow database performance during peak hours. The RDS MySQL instance shows 95% CPU utilization, and 80% of queries are read operations. The application cannot tolerate any downtime. Which solution provides the BEST performance improvement with minimal operational overhead?","[{""text"": ""A) Create a larger RDS instance and schedule maintenance window for upgrade"", ""isCorrect"": false}, {""text"": ""B) Enable RDS Performance Insights to identify slow queries"", ""isCorrect"": false}, {""text"": ""C) Create RDS read replicas and modify application to use them for read queries"", ""isCorrect"": true}, {""text"": ""D) Migrate to Amazon Aurora MySQL with automatic scaling"", ""isCorrect"": false}]","C) Create RDS read replicas and modify application to use them for read queries","Read replicas directly address the 80% read workload without downtime, providing immediate performance relief for read-heavy applications.","{""summary"": ""Read replica benefits for read-heavy workloads:"", ""breakdown"": [""80% read queries can be offloaded to replicas"", ""No downtime required for setup"", ""Immediate performance improvement"", ""Cost-effective solution for read scaling""], ""otherOptions"": ""A) Instance upgrade requires downtime\nB) Performance Insights only identifies issues, doesn't solve them\nD) Migration requires significant effort and testing""}",NULL
6,106,6,"AWS Performance - Caching Strategy","Expert","Design High-Performing Architectures","A social media application serves user profiles stored in DynamoDB. The same profiles are accessed frequently by millions of users, causing high read costs and occasional throttling. The application requires sub-millisecond response times. Which caching strategy provides the BEST performance and cost optimization?","[{""text"": ""A) Implement application-level caching with Redis ElastiCache"", ""isCorrect"": false}, {""text"": ""B) Enable DynamoDB DAX (DynamoDB Accelerator)"", ""isCorrect"": true}, {""text"": ""C) Use CloudFront to cache DynamoDB API responses"", ""isCorrect"": false}, {""text"": ""D) Increase DynamoDB provisioned read capacity"", ""isCorrect"": false}]","B) Enable DynamoDB DAX (DynamoDB Accelerator)","DAX provides microsecond-level response times specifically designed for DynamoDB, with automatic cache management and no application changes required.","{""summary"": ""DAX advantages for DynamoDB caching:"", ""breakdown"": [""Microsecond response times (sub-millisecond requirement)"", ""Transparent to application (no code changes)"", ""Automatic cache invalidation and management"", ""Reduces DynamoDB read costs significantly""], ""otherOptions"": ""A) Redis requires application code changes and cache management\nC) CloudFront can't cache DynamoDB API calls\nD) Increasing capacity doesn't solve latency, only costs more""}",NULL
7,107,7,"AWS Performance - Content Delivery","Comprehension","Design High-Performing Architectures","A global news website serves static content (images, videos, articles) to users worldwide. Users in Asia report slow page load times, while users in the US experience good performance. The origin servers are located in us-east-1. Which solution provides the MOST effective performance improvement for Asian users?","[{""text"": ""A) Deploy additional EC2 instances in ap-southeast-1"", ""isCorrect"": false}, {""text"": ""B) Implement CloudFront distribution with edge locations in Asia"", ""isCorrect"": true}, {""text"": ""C) Use Transfer Acceleration for S3 uploads"", ""isCorrect"": false}, {""text"": ""D) Create Route 53 latency-based routing to multiple regions"", ""isCorrect"": false}]","B) Implement CloudFront distribution with edge locations in Asia","CloudFront edge locations cache static content closer to Asian users, dramatically reducing latency for static content delivery.","{""summary"": ""CloudFront benefits for global content delivery:"", ""breakdown"": [""Edge locations in Asia cache content locally"", ""Reduces latency from us-east-1 to Asia"", ""Handles static content (images, videos, articles) efficiently"", ""Automatic cache management and optimization""], ""otherOptions"": ""A) Additional instances help dynamic content, not static\nC) Transfer Acceleration for uploads, not downloads\nD) Latency routing helps with dynamic content, not static""}",NULL
8,108,8,"AWS Security - IAM Policies","Expert","Design Secure Applications","A company has multiple AWS accounts and needs to grant developers access to specific S3 buckets based on their team assignment. Developers should only access buckets prefixed with their team name (e.g., team-alpha-*). Which approach provides the MOST secure and scalable solution?","[{""text"": ""A) Create individual IAM users in each account with specific S3 bucket policies"", ""isCorrect"": false}, {""text"": ""B) Use AWS Organizations with SCPs and cross-account IAM roles with dynamic policy conditions"", ""isCorrect"": true}, {""text"": ""C) Create shared IAM users with different access keys for each team"", ""isCorrect"": false}, {""text"": ""D) Use S3 bucket policies with IAM user conditions for each team"", ""isCorrect"": false}]","B) Use AWS Organizations with SCPs and cross-account IAM roles with dynamic policy conditions","Organizations with SCPs provide account-level governance, while cross-account roles with dynamic conditions enable secure, scalable team-based access.","{""summary"": ""Multi-account secure access strategy:"", ""breakdown"": [""SCPs provide organization-wide security boundaries"", ""Cross-account roles eliminate need for multiple IAM users"", ""Dynamic conditions based on user attributes (team tags)"", ""Centralized access management across accounts""], ""otherOptions"": ""A) Individual users don't scale across multiple accounts\nC) Shared users violate security best practices\nD) Bucket policies alone can't handle multi-account scenarios efficiently""}",NULL
9,109,9,"AWS Security - Data Encryption","Application","Design Secure Applications","A healthcare company must encrypt all data at rest and in transit. They need to maintain full control over encryption keys and meet HIPAA compliance requirements. The solution must integrate with RDS, S3, and EBS. Which key management approach is MOST appropriate?","[{""text"": ""A) Use AWS managed keys (SSE-S3, default RDS encryption)"", ""isCorrect"": false}, {""text"": ""B) Use AWS KMS customer managed keys with CloudTrail logging"", ""isCorrect"": true}, {""text"": ""C) Use client-side encryption with application-managed keys"", ""isCorrect"": false}, {""text"": ""D) Use AWS KMS AWS managed keys with detailed monitoring"", ""isCorrect"": false}]","B) Use AWS KMS customer managed keys with CloudTrail logging","Customer managed KMS keys provide full control over key policies, rotation, and access, while CloudTrail provides complete audit trails required for HIPAA compliance.","{""summary"": ""HIPAA-compliant key management requirements:"", ""breakdown"": [""Customer managed keys: Full control over key policies and access"", ""CloudTrail: Complete audit trail of key usage"", ""Cross-service integration: Works with RDS, S3, EBS"", ""HIPAA compliance: Meets regulatory requirements for key control""], ""otherOptions"": ""A) AWS managed keys don't provide sufficient control for HIPAA\nC) Client-side encryption complex and doesn't integrate well\nD) AWS managed keys still don't give customer full control""}",NULL
10,110,10,"AWS Security - Network Security","Application","Design Secure Applications","A three-tier web application (web, app, database) needs to be secured according to the principle of least privilege. The web tier must be accessible from the internet, app tier only from web tier, and database tier only from app tier. Which security group configuration is CORRECT?","[{""text"": ""A) Web SG: 0.0.0.0/0:80,443 | App SG: Web-SG:8080 | DB SG: App-SG:3306"", ""isCorrect"": true}, {""text"": ""B) Web SG: 0.0.0.0/0:80,443 | App SG: 0.0.0.0/0:8080 | DB SG: 0.0.0.0/0:3306"", ""isCorrect"": false}, {""text"": ""C) All tiers: VPC CIDR:All ports for internal communication"", ""isCorrect"": false}, {""text"": ""D) Web SG: 0.0.0.0/0:All | App SG: VPC CIDR:All | DB SG: VPC CIDR:All"", ""isCorrect"": false}]","A) Web SG: 0.0.0.0/0:80,443 | App SG: Web-SG:8080 | DB SG: App-SG:3306","Security groups should reference other security groups for internal communication, implementing true least privilege access between tiers.","{""summary"": ""Proper three-tier security group design:"", ""breakdown"": [""Web tier: Internet access on standard web ports (80, 443)"", ""App tier: Only accepts traffic from web security group"", ""Database tier: Only accepts traffic from app security group"", ""Security group references: More secure than IP-based rules""], ""otherOptions"": ""B) App and DB exposed to internet\nC) Too broad access within VPC\nD) Overly permissive on all tiers""}",NULL
