"id","question_id","question_number","category","difficulty","domain","question_text","options","correct_answer","explanation","explanation_details","multiple_answers","correct_answers"
1,1,1,"Cloud Architecture - Service Models","Knowledge","Cloud Architecture and Design","Which cloud service model provides virtualized computing resources over the internet, allowing users to rent servers, storage, and networking without purchasing physical hardware?","[{""text"": ""C) Infrastructure as a Service (IaaS)"", ""isCorrect"": true}, {""text"": ""B) Platform as a Service (PaaS)"", ""isCorrect"": false}, {""text"": ""D) Function as a Service (FaaS)"", ""isCorrect"": false}, {""text"": ""A) Software as a Service (SaaS)"", ""isCorrect"": false}]","C) Infrastructure as a Service (IaaS)","IaaS provides virtualized computing resources including servers, storage, and networking infrastructure.","{""summary"": ""IaaS characteristics include:"", ""breakdown"": [""Virtualized computing resources over the internet"", ""Users rent infrastructure components rather than buying hardware"", ""Control over operating systems and applications"", ""Examples: AWS EC2, Azure VMs, Google Compute Engine""], ""otherOptions"": ""A) SaaS delivers complete software applications\nB) PaaS provides development platforms\nD) FaaS provides serverless function execution""}","0",NULL
2,2,2,"Cloud Architecture - Service Models","Comprehension","Cloud Architecture and Design","Your company wants to deploy a web application without managing the underlying servers, operating systems, or runtime environments. Which service model best fits this requirement?","[{""text"": ""A) Infrastructure as a Service (IaaS)"", ""isCorrect"": false}, {""text"": ""C) Software as a Service (SaaS)"", ""isCorrect"": false}, {""text"": ""B) Platform as a Service (PaaS)"", ""isCorrect"": true}, {""text"": ""D) Function as a Service (FaaS)"", ""isCorrect"": false}]","B) Platform as a Service (PaaS)","PaaS abstracts away infrastructure management while providing a platform for application development and deployment.","{""summary"": ""PaaS characteristics for this scenario:"", ""breakdown"": [""Eliminates server and OS management overhead"", ""Provides development tools and runtime environments"", ""Allows focus on application code and business logic"", ""Examples: Azure App Service, Google App Engine, Heroku""], ""otherOptions"": ""A) IaaS requires managing servers and OS\nC) SaaS provides complete applications\nD) FaaS is for event-driven functions""}","0",NULL
3,3,3,"Cloud Architecture - Service Models","Application","Cloud Architecture and Design","A developer needs to execute code in response to events without managing any infrastructure. The code should automatically scale and only run when triggered. Which service model is most appropriate?","[{""text"": ""A) Infrastructure as a Service (IaaS)"", ""isCorrect"": false}, {""text"": ""D) Function as a Service (FaaS)"", ""isCorrect"": true}, {""text"": ""C) Software as a Service (SaaS)"", ""isCorrect"": false}, {""text"": ""B) Platform as a Service (PaaS)"", ""isCorrect"": false}]","D) Function as a Service (FaaS)","FaaS allows developers to execute code in response to events without managing infrastructure, with automatic scaling.","{""summary"": ""FaaS characteristics for this scenario:"", ""breakdown"": [""Event-driven execution model"", ""No server management required"", ""Automatic scaling based on demand"", ""Pay-per-execution pricing model""], ""otherOptions"": ""A) IaaS requires infrastructure management\nB) PaaS still requires some platform management\nC) SaaS provides complete applications, not custom code execution""}","0",NULL
4,4,4,"Cloud Architecture - Service Models","Knowledge","Cloud Architecture and Design","Which service model is represented by applications like Salesforce, Office 35, and Gmail?","[{""text"": ""C) Software as a Service (SaaS)"", ""isCorrect"": true}, {""text"": ""A) Infrastructure as a Service (IaaS)"", ""isCorrect"": false}, {""text"": ""D) Function as a Service (FaaS)"", ""isCorrect"": false}, {""text"": ""B) Platform as a Service (PaaS)"", ""isCorrect"": false}]","C) Software as a Service (SaaS)","SaaS delivers complete software applications over the internet that users access through web browsers.","{""summary"": ""SaaS characteristics:"", ""breakdown"": [""Complete software applications delivered over internet"", ""No software installation or maintenance required"", ""Subscription-based pricing model"", ""Multi-tenant architecture""], ""otherOptions"": ""A) IaaS provides infrastructure components\nB) PaaS provides development platforms\nD) FaaS provides serverless function execution""}","0",NULL
5,5,5,"Cloud Architecture - Shared Responsibility","Comprehension","Cloud Architecture and Design","In the shared responsibility model, a customer using Amazon RDS (managed database service) is responsible for which of the following?","[{""text"": ""B) Physical security of the data center"", ""isCorrect"": false}, {""text"": ""D) Hardware maintenance and replacement"", ""isCorrect"": false}, {""text"": ""C) Data encryption and access control configuration"", ""isCorrect"": true}, {""text"": ""A) Database engine patching and updates"", ""isCorrect"": false}]","C) Data encryption and access control configuration","In managed services like RDS, customers are responsible for data security, access controls, and encryption configuration.","{""summary"": ""Customer responsibilities in managed database services:"", ""breakdown"": [""Data encryption at rest and in transit"", ""User access management and IAM policies"", ""Network security groups and firewall rules"", ""Backup retention and recovery testing""], ""otherOptions"": ""A) AWS manages engine patching\nB) AWS handles physical security\nD) AWS manages hardware infrastructure""}","0",NULL
6,6,6,"Cloud Architecture - Shared Responsibility","Application","Cloud Architecture and Design","Your organization is using IaaS virtual machines. According to the shared responsibility model, which security aspect is the customer responsible for?","[{""text"": ""B) Hypervisor security and maintenance"", ""isCorrect"": false}, {""text"": ""A) Physical security of the data center"", ""isCorrect"": false}, {""text"": ""D) Network infrastructure hardware security"", ""isCorrect"": false}, {""text"": ""C) Operating system patches and configuration"", ""isCorrect"": true}]","C) Operating system patches and configuration","In IaaS, customers are responsible for securing the guest operating system, including patching and configuration.","{""summary"": ""Customer responsibilities in IaaS:"", ""breakdown"": [""Guest operating system security and patching"", ""Application security and configuration"", ""Network traffic protection (encryption)"", ""Identity and access management""], ""otherOptions"": ""A) Physical security is provider responsibility\nB) Hypervisor is managed by cloud provider\nD) Network hardware is provider responsibility""}","0",NULL
7,7,7,"Cloud Architecture - Availability","Application","Cloud Architecture and Design","Your application requires 99.99% uptime and must survive the failure of an entire data center. Which architecture approach best meets these requirements?","[{""text"": ""C) Use larger instance types for better reliability"", ""isCorrect"": false}, {""text"": ""B) Deploy across multiple availability zones in the same region"", ""isCorrect"": true}, {""text"": ""A) Deploy in a single availability zone with multiple instances"", ""isCorrect"": false}, {""text"": ""D) Implement only vertical scaling"", ""isCorrect"": false}]","B) Deploy across multiple availability zones in the same region","Multi-AZ deployment provides data center-level fault tolerance while maintaining low latency.","{""summary"": ""Multi-AZ deployment benefits:"", ""breakdown"": [""Survives entire data center failures"", ""Maintains low latency within region"", ""Automatic failover capabilities"", ""Meets high availability requirements (99.99%)""], ""otherOptions"": ""A) Single AZ cannot survive data center failure\nC) Instance size doesn't address availability zones\nD) Vertical scaling doesn't provide fault tolerance""}","0",NULL
8,8,8,"Cloud Architecture - Availability","Knowledge","Cloud Architecture and Design","What is the primary purpose of availability zones in cloud computing?","[{""text"": ""B) To separate different cloud services"", ""isCorrect"": false}, {""text"": ""A) To provide different pricing tiers"", ""isCorrect"": false}, {""text"": ""D) To comply with data sovereignty requirements"", ""isCorrect"": false}, {""text"": ""C) To provide redundancy and fault tolerance"", ""isCorrect"": true}]","C) To provide redundancy and fault tolerance","Availability zones provide redundancy and fault tolerance by isolating failures to specific geographic locations.","{""summary"": ""Availability zone characteristics:"", ""breakdown"": [""Isolated data center locations within a region"", ""Independent power, cooling, and networking"", ""Designed to prevent cascading failures"", ""Enable high availability architecture design""], ""otherOptions"": ""A) Pricing is not determined by AZ\nB) Services can span multiple AZs\nD) Data sovereignty is handled at region level""}","0",NULL
9,9,9,"Cloud Architecture - Availability","Comprehension","Cloud Architecture and Design","Which cloud strategy allows an organization to handle sudden traffic spikes by temporarily using public cloud resources while maintaining their private cloud for normal operations?","[{""text"": ""A) Multi-cloud deployment"", ""isCorrect"": false}, {""text"": ""D) Edge computing"", ""isCorrect"": false}, {""text"": ""C) Cloud bursting"", ""isCorrect"": true}, {""text"": ""B) Hybrid cloud architecture"", ""isCorrect"": false}]","C) Cloud bursting","Cloud bursting allows organizations to scale from private to public cloud during peak demand periods.","{""summary"": ""Cloud bursting characteristics:"", ""breakdown"": [""Temporary use of public cloud resources"", ""Handles unexpected traffic spikes"", ""Cost-effective scaling approach"", ""Maintains private cloud for normal operations""], ""otherOptions"": ""A) Multi-cloud uses multiple providers simultaneously\nB) Hybrid cloud is permanent architecture\nD) Edge computing brings processing closer to users""}","0",NULL
10,10,10,"Cloud Architecture - Storage","Knowledge","Cloud Architecture and Design","Which storage type is best suited for frequently accessed data requiring low latency and high throughput?","[{""text"": ""B) Archive storage tier"", ""isCorrect"": false}, {""text"": ""D) Warm storage tier"", ""isCorrect"": false}, {""text"": ""A) Cold storage tier"", ""isCorrect"": false}, {""text"": ""C) Hot storage tier"", ""isCorrect"": true}]","C) Hot storage tier","Hot storage tier is optimized for frequently accessed data with low latency requirements.","{""summary"": ""Hot storage characteristics:"", ""breakdown"": [""Optimized for frequent access patterns"", ""Provides low latency data retrieval"", ""Higher cost but better performance"", ""Ideal for production application data""], ""otherOptions"": ""A) Cold storage for infrequent access\nB) Archive for long-term retention\nD) Warm storage for moderate access""}","0",NULL
